y,x1,x2
1.2,1.0,0.5
2.1,2.0,1.0
3.0,3.0,1.5
4.2,4.0,2.0
5.1,5.0,2.5
6.0,6.0,3.0
7.1,7.0,3.5
8.2,8.0,4.0
9.0,9.0,4.5
10.1,10.0,5.0
11.2,11.0,5.5
12.0,12.0,6.0
13.1,13.0,6.5
14.2,14.0,7.0
15.0,15.0,7.5
25.1,16.0,8.0
27.2,17.0,8.5
29.0,18.0,9.0
31.1,19.0,9.5
33.2,20.0,10.0
35.0,21.0,10.5
37.1,22.0,11.0
39.2,23.0,11.5
41.0,24.0,12.0
43.1,25.0,12.5
45.2,26.0,13.0
47.0,27.0,13.5
49.1,28.0,14.0
51.2,29.0,14.5
53.0,30.0,15.0
20.1,31.0,15.5
18.2,32.0,16.0
16.0,33.0,16.5
14.1,34.0,17.0
12.2,35.0,17.5
10.0,36.0,18.0
8.1,37.0,18.5
6.2,38.0,19.0
4.0,39.0,19.5
2.1,40.0,20.0
